"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"1","0.000000","10.40.219.42","","","10.40.201.225","","","ICMP","42","","","","","8","43","28","0","","Echo (ping) request  id=0x94de, seq=0/0, ttl=43 (reply in 5)"
"2","0.000138","10.40.219.42","42325","","10.40.201.225","443","","TCP","58","0x002","0","0","1024","","47","44","","","42325  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"3","0.000139","10.40.219.42","42325","","10.40.201.225","80","","TCP","54","0x010","1","1","1024","","38","40","","","42325  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"4","0.000139","10.40.219.42","","","10.40.201.225","","","ICMP","54","","","","","13","38","40","0","","Timestamp request    id=0x8d05, seq=0/0, ttl=38"
"5","0.002188","10.40.201.225","","","10.40.219.42","","","ICMP","60","","","","","0","63","28","0","","Echo (ping) reply    id=0x94de, seq=0/0, ttl=63 (request in 1)"
"6","0.002189","10.40.201.225","443","","10.40.219.42","42325","","TCP","60","0x012","0","1","14600","","63","44","","","443  >  42325 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460"
"7","0.002298","10.40.219.42","42325","","10.40.201.225","443","","TCP","54","0x004","1","0","0","","64","40","","","42325  >  443 [RST] Seq=1 Win=0 Len=0"
"8","0.087094","10.40.219.42","42581","","10.40.201.225","443","","TCP","54","0x001","1","0","1024","","51","40","","","42581  >  443 [FIN] Seq=1 Win=1024 Len=0"
"9","0.087095","10.40.219.42","42581","","10.40.201.225","993","","TCP","54","0x001","1","0","1024","","54","40","","","42581  >  993 [FIN] Seq=1 Win=1024 Len=0"
"10","0.087095","10.40.219.42","42581","","10.40.201.225","21","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  21 [FIN] Seq=1 Win=1024 Len=0"
"11","0.087169","10.40.219.42","42581","","10.40.201.225","3389","","TCP","54","0x001","1","0","1024","","58","40","","","42581  >  3389 [FIN] Seq=1 Win=1024 Len=0"
"12","0.087169","10.40.219.42","42581","","10.40.201.225","587","","TCP","54","0x001","1","0","1024","","49","40","","","42581  >  587 [FIN] Seq=1 Win=1024 Len=0"
"13","0.087170","10.40.219.42","42581","","10.40.201.225","8888","","TCP","54","0x001","1","0","1024","","55","40","","","42581  >  8888 [FIN] Seq=1 Win=1024 Len=0"
"14","0.087170","10.40.219.42","42581","","10.40.201.225","199","","TCP","54","0x001","1","0","1024","","51","40","","","42581  >  199 [FIN] Seq=1 Win=1024 Len=0"
"15","0.087170","10.40.219.42","42581","","10.40.201.225","445","","TCP","54","0x001","1","0","1024","","56","40","","","42581  >  445 [FIN] Seq=1 Win=1024 Len=0"
"16","0.087171","10.40.219.42","42581","","10.40.201.225","22","","TCP","54","0x001","1","0","1024","","46","40","","","42581  >  22 [FIN] Seq=1 Win=1024 Len=0"
"17","0.087171","10.40.219.42","42581","","10.40.201.225","111","","TCP","54","0x001","1","0","1024","","49","40","","","42581  >  111 [FIN] Seq=1 Win=1024 Len=0"
"18","1.192977","10.40.219.42","42582","","10.40.201.225","111","","TCP","54","0x001","1","0","1024","","43","40","","","42582  >  111 [FIN] Seq=1 Win=1024 Len=0"
"19","1.192978","10.40.219.42","42582","","10.40.201.225","22","","TCP","54","0x001","1","0","1024","","42","40","","","42582  >  22 [FIN] Seq=1 Win=1024 Len=0"
"20","1.192978","10.40.219.42","42582","","10.40.201.225","445","","TCP","54","0x001","1","0","1024","","37","40","","","42582  >  445 [FIN] Seq=1 Win=1024 Len=0"
"21","1.193693","10.40.219.42","42582","","10.40.201.225","199","","TCP","54","0x001","1","0","1024","","44","40","","","42582  >  199 [FIN] Seq=1 Win=1024 Len=0"
"22","1.193694","10.40.219.42","42582","","10.40.201.225","8888","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  8888 [FIN] Seq=1 Win=1024 Len=0"
"23","1.193694","10.40.219.42","42582","","10.40.201.225","587","","TCP","54","0x001","1","0","1024","","52","40","","","42582  >  587 [FIN] Seq=1 Win=1024 Len=0"
"24","1.193694","10.40.219.42","42582","","10.40.201.225","3389","","TCP","54","0x001","1","0","1024","","53","40","","","42582  >  3389 [FIN] Seq=1 Win=1024 Len=0"
"25","1.193695","10.40.219.42","42582","","10.40.201.225","21","","TCP","54","0x001","1","0","1024","","41","40","","","42582  >  21 [FIN] Seq=1 Win=1024 Len=0"
"26","1.193695","10.40.219.42","42582","","10.40.201.225","993","","TCP","54","0x001","1","0","1024","","41","40","","","42582  >  993 [FIN] Seq=1 Win=1024 Len=0"
"27","1.193696","10.40.219.42","42582","","10.40.201.225","443","","TCP","54","0x001","1","0","1024","","45","40","","","42582  >  443 [FIN] Seq=1 Win=1024 Len=0"
"28","1.303635","10.40.219.42","42581","","10.40.201.225","1025","","TCP","54","0x001","1","0","1024","","54","40","","","42581  >  1025 [FIN] Seq=1 Win=1024 Len=0"
"29","1.303636","10.40.219.42","42581","","10.40.201.225","256","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  256 [FIN] Seq=1 Win=1024 Len=0"
"30","1.303636","10.40.219.42","42581","","10.40.201.225","139","","TCP","54","0x001","1","0","1024","","58","40","","","42581  >  139 [FIN] Seq=1 Win=1024 Len=0"
"31","1.303711","10.40.219.42","42581","","10.40.201.225","143","","TCP","54","0x001","1","0","1024","","57","40","","","42581  >  143 [FIN] Seq=1 Win=1024 Len=0"
"32","1.303712","10.40.219.42","42581","","10.40.201.225","80","","TCP","54","0x001","1","0","1024","","53","40","","","42581  >  80 [FIN] Seq=1 Win=1024 Len=0"
"33","1.303712","10.40.219.42","42581","","10.40.201.225","1720","","TCP","54","0x001","1","0","1024","","58","40","","","42581  >  1720 [FIN] Seq=1 Win=1024 Len=0"
"34","1.303712","10.40.219.42","42581","","10.40.201.225","995","","TCP","54","0x001","1","0","1024","","43","40","","","42581  >  995 [FIN] Seq=1 Win=1024 Len=0"
"35","1.303713","10.40.219.42","42581","","10.40.201.225","1723","","TCP","54","0x001","1","0","1024","","47","40","","","42581  >  1723 [FIN] Seq=1 Win=1024 Len=0"
"36","1.303713","10.40.219.42","42581","","10.40.201.225","5900","","TCP","54","0x001","1","0","1024","","44","40","","","42581  >  5900 [FIN] Seq=1 Win=1024 Len=0"
"37","1.303714","10.40.219.42","42581","","10.40.201.225","110","","TCP","54","0x001","1","0","1024","","52","40","","","42581  >  110 [FIN] Seq=1 Win=1024 Len=0"
"38","1.414677","10.40.219.42","42582","","10.40.201.225","110","","TCP","54","0x001","1","0","1024","","42","40","","","42582  >  110 [FIN] Seq=1 Win=1024 Len=0"
"39","1.414678","10.40.219.42","42582","","10.40.201.225","5900","","TCP","54","0x001","1","0","1024","","38","40","","","42582  >  5900 [FIN] Seq=1 Win=1024 Len=0"
"40","1.414678","10.40.219.42","42582","","10.40.201.225","1723","","TCP","54","0x001","1","0","1024","","55","40","","","42582  >  1723 [FIN] Seq=1 Win=1024 Len=0"
"41","1.414753","10.40.219.42","42582","","10.40.201.225","995","","TCP","54","0x001","1","0","1024","","42","40","","","42582  >  995 [FIN] Seq=1 Win=1024 Len=0"
"42","1.414753","10.40.219.42","42582","","10.40.201.225","1720","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  1720 [FIN] Seq=1 Win=1024 Len=0"
"43","1.414754","10.40.219.42","42582","","10.40.201.225","80","","TCP","54","0x001","1","0","1024","","38","40","","","42582  >  80 [FIN] Seq=1 Win=1024 Len=0"
"44","1.414754","10.40.219.42","42582","","10.40.201.225","143","","TCP","54","0x001","1","0","1024","","47","40","","","42582  >  143 [FIN] Seq=1 Win=1024 Len=0"
"45","1.414754","10.40.219.42","42582","","10.40.201.225","139","","TCP","54","0x001","1","0","1024","","47","40","","","42582  >  139 [FIN] Seq=1 Win=1024 Len=0"
"46","1.414777","10.40.219.42","42582","","10.40.201.225","256","","TCP","54","0x001","1","0","1024","","50","40","","","42582  >  256 [FIN] Seq=1 Win=1024 Len=0"
"47","1.414778","10.40.219.42","42582","","10.40.201.225","1025","","TCP","54","0x001","1","0","1024","","50","40","","","42582  >  1025 [FIN] Seq=1 Win=1024 Len=0"
"48","1.523642","10.40.219.42","42581","","10.40.201.225","53","","TCP","54","0x001","1","0","1024","","54","40","","","42581  >  53 [FIN] Seq=1 Win=1024 Len=0"
"49","1.523710","10.40.219.42","42581","","10.40.201.225","554","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  554 [FIN] Seq=1 Win=1024 Len=0"
"50","1.523752","10.40.219.42","42581","","10.40.201.225","3306","","TCP","54","0x001","1","0","1024","","46","40","","","42581  >  3306 [FIN] Seq=1 Win=1024 Len=0"
"51","1.523812","10.40.219.42","42581","","10.40.201.225","25","","TCP","54","0x001","1","0","1024","","59","40","","","42581  >  25 [FIN] Seq=1 Win=1024 Len=0"
"52","1.523869","10.40.219.42","42581","","10.40.201.225","8080","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  8080 [FIN] Seq=1 Win=1024 Len=0"
"53","1.523869","10.40.219.42","42581","","10.40.201.225","135","","TCP","54","0x001","1","0","1024","","43","40","","","42581  >  135 [FIN] Seq=1 Win=1024 Len=0"
"54","1.523900","10.40.219.42","42581","","10.40.201.225","23","","TCP","54","0x001","1","0","1024","","45","40","","","42581  >  23 [FIN] Seq=1 Win=1024 Len=0"
"55","1.523948","10.40.219.42","42581","","10.40.201.225","113","","TCP","54","0x001","1","0","1024","","38","40","","","42581  >  113 [FIN] Seq=1 Win=1024 Len=0"
"56","1.523961","10.40.219.42","42581","","10.40.201.225","1021","","TCP","54","0x001","1","0","1024","","46","40","","","42581  >  1021 [FIN] Seq=1 Win=1024 Len=0"
"57","1.523986","10.40.219.42","42581","","10.40.201.225","9080","","TCP","54","0x001","1","0","1024","","53","40","","","42581  >  9080 [FIN] Seq=1 Win=1024 Len=0"
"58","1.634857","10.40.219.42","42582","","10.40.201.225","9080","","TCP","54","0x001","1","0","1024","","48","40","","","42582  >  9080 [FIN] Seq=1 Win=1024 Len=0"
"59","1.634858","10.40.219.42","42582","","10.40.201.225","1021","","TCP","54","0x001","1","0","1024","","53","40","","","42582  >  1021 [FIN] Seq=1 Win=1024 Len=0"
"60","1.635555","10.40.219.42","42582","","10.40.201.225","113","","TCP","54","0x001","1","0","1024","","48","40","","","42582  >  113 [FIN] Seq=1 Win=1024 Len=0"
"61","1.635556","10.40.219.42","42582","","10.40.201.225","23","","TCP","54","0x001","1","0","1024","","51","40","","","42582  >  23 [FIN] Seq=1 Win=1024 Len=0"
"62","1.635556","10.40.219.42","42582","","10.40.201.225","135","","TCP","54","0x001","1","0","1024","","37","40","","","42582  >  135 [FIN] Seq=1 Win=1024 Len=0"
"63","1.635556","10.40.219.42","42582","","10.40.201.225","8080","","TCP","54","0x001","1","0","1024","","50","40","","","42582  >  8080 [FIN] Seq=1 Win=1024 Len=0"
"64","1.635557","10.40.219.42","42582","","10.40.201.225","25","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  25 [FIN] Seq=1 Win=1024 Len=0"
"65","1.635557","10.40.219.42","42582","","10.40.201.225","3306","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  3306 [FIN] Seq=1 Win=1024 Len=0"
"66","1.635557","10.40.219.42","42582","","10.40.201.225","554","","TCP","54","0x001","1","0","1024","","38","40","","","42582  >  554 [FIN] Seq=1 Win=1024 Len=0"
"67","1.635558","10.40.219.42","42582","","10.40.201.225","53","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  53 [FIN] Seq=1 Win=1024 Len=0"
"68","1.746083","10.40.219.42","42581","","10.40.201.225","1117","","TCP","54","0x001","1","0","1024","","49","40","","","42581  >  1117 [FIN] Seq=1 Win=1024 Len=0"
"69","1.746084","10.40.219.42","42581","","10.40.201.225","6006","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  6006 [FIN] Seq=1 Win=1024 Len=0"
"70","1.746084","10.40.219.42","42581","","10.40.201.225","1113","","TCP","54","0x001","1","0","1024","","42","40","","","42581  >  1113 [FIN] Seq=1 Win=1024 Len=0"
"71","1.746159","10.40.219.42","42581","","10.40.201.225","722","","TCP","54","0x001","1","0","1024","","38","40","","","42581  >  722 [FIN] Seq=1 Win=1024 Len=0"
"72","1.746159","10.40.219.42","42581","","10.40.201.225","8001","","TCP","54","0x001","1","0","1024","","38","40","","","42581  >  8001 [FIN] Seq=1 Win=1024 Len=0"
"73","1.746159","10.40.219.42","42581","","10.40.201.225","873","","TCP","54","0x001","1","0","1024","","43","40","","","42581  >  873 [FIN] Seq=1 Win=1024 Len=0"
"74","1.746160","10.40.219.42","42581","","10.40.201.225","6580","","TCP","54","0x001","1","0","1024","","57","40","","","42581  >  6580 [FIN] Seq=1 Win=1024 Len=0"
"75","1.746161","10.40.219.42","42581","","10.40.201.225","5904","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  5904 [FIN] Seq=1 Win=1024 Len=0"
"76","1.746161","10.40.219.42","42581","","10.40.201.225","1056","","TCP","54","0x001","1","0","1024","","45","40","","","42581  >  1056 [FIN] Seq=1 Win=1024 Len=0"
"77","1.746161","10.40.219.42","42581","","10.40.201.225","50006","","TCP","54","0x001","1","0","1024","","53","40","","","42581  >  50006 [FIN] Seq=1 Win=1024 Len=0"
"78","1.856420","10.40.219.42","42582","","10.40.201.225","50006","","TCP","54","0x001","1","0","1024","","55","40","","","42582  >  50006 [FIN] Seq=1 Win=1024 Len=0"
