"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"1","0.000000","75.186.27.63","","1861","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1861  >  80 Len=1400"
"2","0.001071","229.141.146.27","","1862","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1862  >  80 Len=1400"
"3","0.002126","16.166.31.80","","1863","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1863  >  80 Len=1400"
"4","0.003175","27.185.56.1","","1864","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1864  >  80 Len=1400"
"5","0.004223","70.49.228.70","","1865","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1865  >  80 Len=1400"
"6","0.005270","98.126.156.129","","1866","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1866  >  80 Len=1400"
"7","0.006325","143.109.100.246","","1867","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1867  >  80 Len=1400"
"8","0.007376","211.79.86.161","","1868","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1868  >  80 Len=1400"
"9","0.008428","10.45.202.231","","1869","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1869  >  80 Len=1400"
"10","0.009484","27.168.96.140","","1870","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1870  >  80 Len=1400"
"11","0.010536","172.119.103.228","","1871","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1871  >  80 Len=1400"
"12","0.011586","194.109.186.171","","1872","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1872  >  80 Len=1400"
"13","0.012641","134.210.68.186","","1873","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1873  >  80 Len=1400"
"14","0.013693","20.143.163.68","","1874","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1874  >  80 Len=1400"
"15","0.014745","153.200.76.239","","1875","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1875  >  80 Len=1400"
"16","0.015796","139.12.204.135","","1876","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1876  >  80 Len=1400"
"17","0.016859","203.224.229.143","","1877","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1877  >  80 Len=1400"
"18","0.017923","26.166.69.204","","1878","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1878  >  80 Len=1400"
"19","0.018979","106.197.25.150","","1879","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1879  >  80 Len=1400"
"20","0.020029","75.46.139.221","","1880","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1880  >  80 Len=1400"
"21","0.021078","6.208.252.109","","1881","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1881  >  80 Len=1400"
"22","0.022128","246.139.75.224","","1882","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1882  >  80 Len=1400"
"23","0.023179","86.253.85.10","","1883","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1883  >  80 Len=1400"
"24","0.024231","162.96.49.74","","1884","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1884  >  80 Len=1400"
