"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"1","0.000000","10.40.219.42","","","10.40.201.225","","","ICMP","60","","","","","8","55","28","0","","Echo (ping) request  id=0x81c5, seq=0/0, ttl=55 (reply in 2)"
"2","0.000023","10.40.201.225","","","10.40.219.42","","","ICMP","42","","","","","0","64","28","0","","Echo (ping) reply    id=0x81c5, seq=0/0, ttl=64 (request in 1)"
"3","0.000089","10.40.219.42","56174","","10.40.201.225","443","","TCP","60","0x002","0","0","1024","","40","44","","","56174  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"4","0.000118","10.40.201.225","443","","10.40.219.42","56174","","TCP","58","0x012","0","1","14600","","64","44","","","443  >  56174 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460"
"5","0.003387","10.40.219.42","56174","","10.40.201.225","443","","TCP","60","0x004","1","0","0","","63","40","","","56174  >  443 [RST] Seq=1 Win=0 Len=0"
"6","0.076542","10.40.219.42","","56430","10.40.201.225","","1024","UDP","60","","","","","","41","28","","8","56430  >  1024 Len=0"
"7","0.076561","10.40.201.225","","56430","10.40.219.42","","1024","ICMP","70","","","","","3","64,41","56,28","3","8","Destination unreachable (Port unreachable)"
"8","0.076920","10.40.219.42","","56430","10.40.201.225","","32775","UDP","60","","","","","","53","28","","8","56430  >  32775 Len=0"
"9","0.076934","10.40.201.225","","56430","10.40.219.42","","32775","ICMP","70","","","","","3","64,53","56,28","3","8","Destination unreachable (Port unreachable)"
"10","0.077577","10.40.219.42","","56430","10.40.201.225","","626","UDP","72","","","","","","44","58","","38","56430  >  626 Len=30"
"11","0.077593","10.40.201.225","","56430","10.40.219.42","","626","ICMP","100","","","","","3","64,44","86,58","3","38","Destination unreachable (Port unreachable)"
"12","0.077981","10.40.219.42","","56430","10.40.201.225","","3703","UDP","60","","","","","","39","28","","8","56430  >  3703 Len=0"
"13","0.077995","10.40.201.225","","56430","10.40.219.42","","3703","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"14","0.078002","10.40.219.42","","56430","10.40.201.225","","6971","UDP","60","","","","","","48","28","","8","56430  >  6971 Len=0"
"15","0.078009","10.40.201.225","","56430","10.40.219.42","","6971","ICMP","70","","","","","3","64,48","56,28","3","8","Destination unreachable (Port unreachable)"
"16","0.078015","10.40.219.42","","56430","10.40.201.225","","1901","UDP","60","","","","","","49","28","","8","56430  >  1901 Len=0"
"17","0.078021","10.40.201.225","","56430","10.40.219.42","","1901","ICMP","70","","","","","3","64,49","56,28","3","8","Destination unreachable (Port unreachable)"
"18","0.078102","10.40.219.42","","56430","10.40.201.225","","50612","UDP","60","","","","","","55","28","","8","56430  >  50612 Len=0"
"19","0.078250","10.40.219.42","","56430","10.40.201.225","","51717","UDP","60","","","","","","46","28","","8","56430  >  51717 Len=0"
"20","0.078261","10.40.219.42","","56430","10.40.201.225","","16970","UDP","60","","","","","","58","28","","8","56430  >  16970 Len=0"
"21","0.078361","10.40.219.42","","56430","10.40.201.225","","18888","UDP","60","","","","","","50","28","","8","56430  >  18888 Len=0"
"22","0.098668","10.40.219.42","","56430","10.40.201.225","","49195","UDP","60","","","","","","46","28","","8","56430  >  49195 Len=0"
"23","0.098682","10.40.219.42","","56430","10.40.201.225","","17091","UDP","60","","","","","","40","28","","8","56430  >  17091 Len=0"
"24","0.098882","10.40.219.42","","56430","10.40.201.225","","42056","UDP","60","","","","","","40","28","","8","56430  >  42056 Len=0"
"25","0.099625","10.40.219.42","","56430","10.40.201.225","","24594","UDP","60","","","","","","58","28","","8","56430  >  24594 Len=0"
"26","0.099639","10.40.219.42","","56430","10.40.201.225","","959","UDP","60","","","","","","39","28","","8","56430  >  959 Len=0"
"27","0.099811","10.40.219.42","","56430","10.40.201.225","","49213","UDP","60","","","","","","51","28","","8","56430  >  49213 Len=0"
"28","0.099822","10.40.219.42","","56430","10.40.201.225","","20120","UDP","60","","","","","","52","28","","8","56430  >  20120 Len=0"
"29","0.100043","10.40.219.42","","56430","10.40.201.225","","1042","UDP","60","","","","","","50","28","","8","56430  >  1042 Len=0"
"30","0.100053","10.40.219.42","","56430","10.40.201.225","","17101","UDP","60","","","","","","51","28","","8","56430  >  17101 Len=0"
"31","0.100229","10.40.219.42","","56430","10.40.201.225","","49155","UDP","60","","","","","","46","28","","8","56430  >  49155 Len=0"
"32","0.100239","10.40.219.42","","56430","10.40.201.225","","30697","UDP","60","","","","","","48","28","","8","56430  >  30697 Len=0"
"33","0.100457","10.40.219.42","","56430","10.40.201.225","","158","UDP","60","","","","","","56","28","","8","56430  >  158 Len=0"
"34","1.198997","10.40.219.42","","56431","10.40.201.225","","49155","UDP","60","","","","","","54","28","","8","56431  >  49155 Len=0"
"35","1.199014","10.40.201.225","","56431","10.40.219.42","","49155","ICMP","70","","","","","3","64,54","56,28","3","8","Destination unreachable (Port unreachable)"
"36","1.199022","10.40.219.42","","56431","10.40.201.225","","30697","UDP","60","","","","","","43","28","","8","56431  >  30697 Len=0"
"37","1.199027","10.40.219.42","","56431","10.40.201.225","","158","UDP","60","","","","","","46","28","","8","56431  >  158 Len=0"
"38","1.200328","10.40.219.42","","56431","10.40.201.225","","17101","UDP","60","","","","","","57","28","","8","56431  >  17101 Len=0"
"39","1.200341","10.40.219.42","","56431","10.40.201.225","","49213","UDP","60","","","","","","36","28","","8","56431  >  49213 Len=0"
"40","1.200346","10.40.219.42","","56431","10.40.201.225","","1042","UDP","60","","","","","","53","28","","8","56431  >  1042 Len=0"
"41","1.200573","10.40.219.42","","56431","10.40.201.225","","959","UDP","60","","","","","","56","28","","8","56431  >  959 Len=0"
"42","1.200583","10.40.219.42","","56431","10.40.201.225","","24594","UDP","60","","","","","","41","28","","8","56431  >  24594 Len=0"
"43","1.200588","10.40.219.42","","56431","10.40.201.225","","20120","UDP","60","","","","","","49","28","","8","56431  >  20120 Len=0"
"44","1.200673","10.40.219.42","","56431","10.40.201.225","","17091","UDP","60","","","","","","49","28","","8","56431  >  17091 Len=0"
"45","1.200683","10.40.219.42","","56431","10.40.201.225","","49195","UDP","60","","","","","","44","28","","8","56431  >  49195 Len=0"
"46","1.200687","10.40.219.42","","56431","10.40.201.225","","42056","UDP","60","","","","","","37","28","","8","56431  >  42056 Len=0"
"47","1.200960","10.40.219.42","","56431","10.40.201.225","","18888","UDP","60","","","","","","47","28","","8","56431  >  18888 Len=0"
"48","1.200970","10.40.219.42","","56431","10.40.201.225","","51717","UDP","60","","","","","","50","28","","8","56431  >  51717 Len=0"
"49","1.200975","10.40.219.42","","56431","10.40.201.225","","16970","UDP","60","","","","","","44","28","","8","56431  >  16970 Len=0"
